Code,Area,Year,Measure,Value,
E12000004,East Midlands,Year ending Jun 2007,Median,"140,000",
E12000005,West Midlands,Year ending Jun 2007,Median,"145,000",
E12000006,East of England,Year ending Jun 2007,Median,"184,000",
E12000007,London,Year ending Jun 2007,Median,"249,999",
E12000008,South East,Year ending Jun 2007,Median,"210,000",
E12000009,South West,Year ending Jun 2007,Median,"185,000",
E92000001,England,Year ending Jun 2007,Median,"173,000",
W92000034,Wales,Year ending Jun 2007,Median,"136,950",
K04000031,England And Wales,Year ending Jun 2007,Median,"170,000",
E09000001,City of London,Year ending Sep 2007,Median,"395,000",
E09000002,Barking and Dagenham,Year ending Sep 2007,Median,"180,000",
E09000003,Barnet,Year ending Sep 2007,Median,"289,973",
E09000004,Bexley,Year ending Sep 2007,Median,"208,000",
E09000005,Brent,Year ending Sep 2007,Median,"274,000",
E09000006,Bromley,Year ending Sep 2007,Median,"250,000",
E09000007,Camden,Year ending Sep 2007,Median,"399,950",
E09000008,Croydon,Year ending Sep 2007,Median,"219,500",
E09000009,Ealing,Year ending Sep 2007,Median,"260,000",
E09000010,Enfield,Year ending Sep 2007,Median,"227,000",
E09000011,Greenwich,Year ending Sep 2007,Median,"219,000",
E09000012,Hackney,Year ending Sep 2007,Median,"250,000",
E09000013,Hammersmith and Fulham,Year ending Sep 2007,Median,"395,000",
E09000014,Haringey,Year ending Sep 2007,Median,"250,000",
E09000015,Harrow,Year ending Sep 2007,Median,"275,000",
E09000016,Havering,Year ending Sep 2007,Median,"218,000",
E09000017,Hillingdon,Year ending Sep 2007,Median,"240,000",
E09000018,Hounslow,Year ending Sep 2007,Median,"247,000",
E09000019,Islington,Year ending Sep 2007,Median,"335,000",
E09000020,Kensington and Chelsea,Year ending Sep 2007,Median,"635,000",
E09000021,Kingston upon Thames,Year ending Sep 2007,Median,"280,000",
E09000022,Lambeth,Year ending Sep 2007,Median,"270,000",
E09000023,Lewisham,Year ending Sep 2007,Median,"217,500",
E09000024,Merton,Year ending Sep 2007,Median,"250,000",
E09000025,Newham,Year ending Sep 2007,Median,"225,000",
E09000026,Redbridge,Year ending Sep 2007,Median,"250,000",
E09000027,Richmond upon Thames,Year ending Sep 2007,Median,"370,000",
E09000028,Southwark,Year ending Sep 2007,Median,"268,000",
E09000029,Sutton,Year ending Sep 2007,Median,"227,000",
E09000030,Tower Hamlets,Year ending Sep 2007,Median,"275,000",
E09000031,Waltham Forest,Year ending Sep 2007,Median,"231,500",
E09000032,Wandsworth,Year ending Sep 2007,Median,"350,000",
E09000033,Westminster,Year ending Sep 2007,Median,"449,101",
E12000001,North East,Year ending Sep 2007,Median,"121,000",
E12000002,North West,Year ending Sep 2007,Median,"133,500",
E12000003,Yorkshire And The Humber,Year ending Sep 2007,Median,"134,450",
E12000004,East Midlands,Year ending Sep 2007,Median,"142,950",
E12000005,West Midlands,Year ending Sep 2007,Median,"146,000",
E12000006,East of England,Year ending Sep 2007,Median,"186,900",
E12000007,London,Year ending Sep 2007,Median,"250,000",
E12000008,South East,Year ending Sep 2007,Median,"215,000",
E12000009,South West,Year ending Sep 2007,Median,"187,950",
E92000001,England,Year ending Sep 2007,Median,"175,000",
W92000035,Wales,Year ending Sep 2007,Median,"139,000",
K04000032,England And Wales,Year ending Sep 2007,Median,"174,000",
E09000001,City of London,Year ending Dec 2007,Median,"416,250",
E09000002,Barking and Dagenham,Year ending Dec 2007,Median,"185,000",
E09000003,Barnet,Year ending Dec 2007,Median,"295,000",
E09000004,Bexley,Year ending Dec 2007,Median,"212,000",
E09000005,Brent,Year ending Dec 2007,Median,"280,000",
E09000006,Bromley,Year ending Dec 2007,Median,"260,000",
E09000007,Camden,Year ending Dec 2007,Median,"410,000",
E09000008,Croydon,Year ending Dec 2007,Median,"222,500",
E09000009,Ealing,Year ending Dec 2007,Median,"270,000",
E09000010,Enfield,Year ending Dec 2007,Median,"233,000",
E09000011,Greenwich,Year ending Dec 2007,Median,"224,000",
E09000012,Hackney,Year ending Dec 2007,Median,"264,000",
E09000013,Hammersmith and Fulham,Year ending Dec 2007,Median,"415,000",
E09000014,Haringey,Year ending Dec 2007,Median,"267,500",
E09000015,Harrow,Year ending Dec 2007,Median,"280,000",
E09000016,Havering,Year ending Dec 2007,Median,"222,500",
E09000017,Hillingdon,Year ending Dec 2007,Median,"245,000",
E09000018,Hounslow,Year ending Dec 2007,Median,"249,995",
E09000019,Islington,Year ending Dec 2007,Median,"347,000",
E09000020,Kensington and Chelsea,Year ending Dec 2007,Median,"640,000",
E09000021,Kingston upon Thames,Year ending Dec 2007,Median,"290,000",
E09000022,Lambeth,Year ending Dec 2007,Median,"280,000",
E09000023,Lewisham,Year ending Dec 2007,Median,"224,998",
E09000024,Merton,Year ending Dec 2007,Median,"263,375",
E09000025,Newham,Year ending Dec 2007,Median,"230,000",
E09000026,Redbridge,Year ending Dec 2007,Median,"250,000",
E09000027,Richmond upon Thames,Year ending Dec 2007,Median,"381,000",
E09000028,Southwark,Year ending Dec 2007,Median,"276,000",
E09000029,Sutton,Year ending Dec 2007,Median,"233,000",
E09000030,Tower Hamlets,Year ending Dec 2007,Median,"290,000",
E09000031,Waltham Forest,Year ending Dec 2007,Median,"239,000",
E09000032,Wandsworth,Year ending Dec 2007,Median,"355,000",
E09000033,Westminster,Year ending Dec 2007,Median,"475,000",
E12000001,North East,Year ending Dec 2007,Median,"122,000",
E12000002,North West,Year ending Dec 2007,Median,"134,950",
E12000003,Yorkshire And The Humber,Year ending Dec 2007,Median,"135,000",
E12000004,East Midlands,Year ending Dec 2007,Median,"144,185",
E12000005,West Midlands,Year ending Dec 2007,Median,"147,000",
E12000006,East of England,Year ending Dec 2007,Median,"190,000",
E12000007,London,Year ending Dec 2007,Median,"262,500",
E12000008,South East,Year ending Dec 2007,Median,"219,950",
E12000009,South West,Year ending Dec 2007,Median,"190,000",
E92000001,England,Year ending Dec 2007,Median,"178,000",
W92000036,Wales,Year ending Dec 2007,Median,"140,000",
K04000033,England And Wales,Year ending Dec 2007,Median,"175,000",
E09000001,City of London,Year ending Mar 2008,Median,"423,500",
E09000002,Barking and Dagenham,Year ending Mar 2008,Median,"189,995",
E09000003,Barnet,Year ending Mar 2008,Median,"295,000",
E09000004,Bexley,Year ending Mar 2008,Median,"215,000",
E09000005,Brent,Year ending Mar 2008,Median,"285,000",
E09000006,Bromley,Year ending Mar 2008,Median,"265,000",
E09000007,Camden,Year ending Mar 2008,Median,"415,000",
E09000008,Croydon,Year ending Mar 2008,Median,"225,000",
E09000009,Ealing,Year ending Mar 2008,Median,"279,950",
E09000010,Enfield,Year ending Mar 2008,Median,"237,000",
E09000011,Greenwich,Year ending Mar 2008,Median,"227,000",
E09000012,Hackney,Year ending Mar 2008,Median,"266,500",
E09000013,Hammersmith and Fulham,Year ending Mar 2008,Median,"425,000",
E09000014,Haringey,Year ending Mar 2008,Median,"275,000",
E09000015,Harrow,Year ending Mar 2008,Median,"287,420",
E09000016,Havering,Year ending Mar 2008,Median,"225,000",
E09000017,Hillingdon,Year ending Mar 2008,Median,"246,950",
E09000018,Hounslow,Year ending Mar 2008,Median,"250,000",
E09000019,Islington,Year ending Mar 2008,Median,"355,000",
E09000020,Kensington and Chelsea,Year ending Mar 2008,Median,"660,000",
E09000021,Kingston upon Thames,Year ending Mar 2008,Median,"295,000",
E09000022,Lambeth,Year ending Mar 2008,Median,"285,000",
E09000023,Lewisham,Year ending Mar 2008,Median,"226,250",
E09000024,Merton,Year ending Mar 2008,Median,"267,000",
E09000025,Newham,Year ending Mar 2008,Median,"235,000",
E09000026,Redbridge,Year ending Mar 2008,Median,"250,000",
E09000027,Richmond upon Thames,Year ending Mar 2008,Median,"389,950",
E09000028,Southwark,Year ending Mar 2008,Median,"280,000",
E09000029,Sutton,Year ending Mar 2008,Median,"238,420",
E09000030,Tower Hamlets,Year ending Mar 2008,Median,"300,000",
E09000031,Waltham Forest,Year ending Mar 2008,Median,"240,000",
E09000032,Wandsworth,Year ending Mar 2008,Median,"360,000",
E09000033,Westminster,Year ending Mar 2008,Median,"489,975",
E12000001,North East,Year ending Mar 2008,Median,"122,500",
E12000002,North West,Year ending Mar 2008,Median,"135,000",
E12000003,Yorkshire And The Humber,Year ending Mar 2008,Median,"136,000",
E12000004,East Midlands,Year ending Mar 2008,Median,"145,000",
E12000005,West Midlands,Year ending Mar 2008,Median,"147,950",
E12000006,East of England,Year ending Mar 2008,Median,"192,000",
E12000007,London,Year ending Mar 2008,Median,"267,000",
E12000008,South East,Year ending Mar 2008,Median,"220,000",
E12000009,South West,Year ending Mar 2008,Median,"192,500",
E92000001,England,Year ending Mar 2008,Median,"179,950",
W92000037,Wales,Year ending Mar 2008,Median,"140,000",
K04000034,England And Wales,Year ending Mar 2008,Median,"177,000",
E09000001,City of London,Year ending Jun 2008,Median,"395,000",
E09000002,Barking and Dagenham,Year ending Jun 2008,Median,"191,000",
E09000003,Barnet,Year ending Jun 2008,Median,"298,000",
E09000004,Bexley,Year ending Jun 2008,Median,"216,000",
E09000005,Brent,Year ending Jun 2008,Median,"289,950",
E09000006,Bromley,Year ending Jun 2008,Median,"265,000",
E09000007,Camden,Year ending Jun 2008,Median,"430,750",
E09000008,Croydon,Year ending Jun 2008,Median,"229,950",
E09000009,Ealing,Year ending Jun 2008,Median,"282,500",
E09000010,Enfield,Year ending Jun 2008,Median,"238,000",
E09000011,Greenwich,Year ending Jun 2008,Median,"232,000",
E09000012,Hackney,Year ending Jun 2008,Median,"275,000",
E09000013,Hammersmith and Fulham,Year ending Jun 2008,Median,"430,200",
E09000014,Haringey,Year ending Jun 2008,Median,"277,000",
E09000015,Harrow,Year ending Jun 2008,Median,"288,000",
E09000016,Havering,Year ending Jun 2008,Median,"230,000",
E09000017,Hillingdon,Year ending Jun 2008,Median,"248,000",
E09000018,Hounslow,Year ending Jun 2008,Median,"250,000",
E09000019,Islington,Year ending Jun 2008,Median,"360,000",
E09000020,Kensington and Chelsea,Year ending Jun 2008,Median,"675,000",
E09000021,Kingston upon Thames,Year ending Jun 2008,Median,"295,000",
E09000022,Lambeth,Year ending Jun 2008,Median,"285,000",
E09000023,Lewisham,Year ending Jun 2008,Median,"230,000",
E09000024,Merton,Year ending Jun 2008,Median,"270,000",
E09000025,Newham,Year ending Jun 2008,Median,"240,000",
E09000026,Redbridge,Year ending Jun 2008,Median,"259,000",
E09000027,Richmond upon Thames,Year ending Jun 2008,Median,"395,000",
E09000028,Southwark,Year ending Jun 2008,Median,"285,000",
E09000029,Sutton,Year ending Jun 2008,Median,"242,000",
E09000030,Tower Hamlets,Year ending Jun 2008,Median,"300,000",
E09000031,Waltham Forest,Year ending Jun 2008,Median,"245,000",
E09000032,Wandsworth,Year ending Jun 2008,Median,"364,700",
E09000033,Westminster,Year ending Jun 2008,Median,"495,000",
E12000001,North East,Year ending Jun 2008,Median,"122,500",
E12000002,North West,Year ending Jun 2008,Median,"134,500",
E12000003,Yorkshire And The Humber,Year ending Jun 2008,Median,"135,000",
E12000004,East Midlands,Year ending Jun 2008,Median,"144,000",
E12000005,West Midlands,Year ending Jun 2008,Median,"147,000",
E12000006,East of England,Year ending Jun 2008,Median,"193,000",
E12000007,London,Year ending Jun 2008,Median,"270,000",
E12000008,South East,Year ending Jun 2008,Median,"223,000",
E12000009,South West,Year ending Jun 2008,Median,"192,500",
E92000001,England,Year ending Jun 2008,Median,"180,000",
W92000038,Wales,Year ending Jun 2008,Median,"140,000",
K04000035,England And Wales,Year ending Jun 2008,Median,"177,500",
E09000001,City of London,Year ending Sep 2008,Median,"375,000",
E09000002,Barking and Dagenham,Year ending Sep 2008,Median,"191,000",
E09000003,Barnet,Year ending Sep 2008,Median,"288,000",
E09000004,Bexley,Year ending Sep 2008,Median,"215,000",
E09000005,Brent,Year ending Sep 2008,Median,"283,000",
E09000006,Bromley,Year ending Sep 2008,Median,"259,475",
E09000007,Camden,Year ending Sep 2008,Median,"440,000",
E09000008,Croydon,Year ending Sep 2008,Median,"230,000",
E09000009,Ealing,Year ending Sep 2008,Median,"280,000",
E09000010,Enfield,Year ending Sep 2008,Median,"236,000",
E09000011,Greenwich,Year ending Sep 2008,Median,"233,950",
E09000012,Hackney,Year ending Sep 2008,Median,"272,500",
E09000013,Hammersmith and Fulham,Year ending Sep 2008,Median,"425,000",
E09000014,Haringey,Year ending Sep 2008,Median,"270,000",
E09000015,Harrow,Year ending Sep 2008,Median,"284,000",
E09000016,Havering,Year ending Sep 2008,Median,"226,000",
E09000017,Hillingdon,Year ending Sep 2008,Median,"248,000",
E09000018,Hounslow,Year ending Sep 2008,Median,"250,000",
E09000019,Islington,Year ending Sep 2008,Median,"355,000",
E09000020,Kensington and Chelsea,Year ending Sep 2008,Median,"665,000",
E09000021,Kingston upon Thames,Year ending Sep 2008,Median,"293,000",
E09000022,Lambeth,Year ending Sep 2008,Median,"280,000",
E09000023,Lewisham,Year ending Sep 2008,Median,"230,000",
E09000024,Merton,Year ending Sep 2008,Median,"269,000",
E09000025,Newham,Year ending Sep 2008,Median,"239,995",
E09000026,Redbridge,Year ending Sep 2008,Median,"250,000",
E09000027,Richmond upon Thames,Year ending Sep 2008,Median,"390,000",
E09000028,Southwark,Year ending Sep 2008,Median,"285,000",
E09000029,Sutton,Year ending Sep 2008,Median,"240,000",
E09000030,Tower Hamlets,Year ending Sep 2008,Median,"299,950",
E09000031,Waltham Forest,Year ending Sep 2008,Median,"240,000",
E09000032,Wandsworth,Year ending Sep 2008,Median,"357,500",
E09000033,Westminster,Year ending Sep 2008,Median,"499,950",
E12000001,North East,Year ending Sep 2008,Median,"121,500",
E12000002,North West,Year ending Sep 2008,Median,"132,500",
E12000003,Yorkshire And The Humber,Year ending Sep 2008,Median,"133,500",
E12000004,East Midlands,Year ending Sep 2008,Median,"142,000",
E12000005,West Midlands,Year ending Sep 2008,Median,"145,000",
E12000006,East of England,Year ending Sep 2008,Median,"190,000",
E12000007,London,Year ending Sep 2008,Median,"265,000",
E12000008,South East,Year ending Sep 2008,Median,"220,000",
E12000009,South West,Year ending Sep 2008,Median,"190,000",
E92000001,England,Year ending Sep 2008,Median,"177,500",
W92000039,Wales,Year ending Sep 2008,Median,"138,000",
K04000036,England And Wales,Year ending Sep 2008,Median,"175,000",
E09000001,City of London,Year ending Dec 2008,Median,"365,000",
E09000002,Barking and Dagenham,Year ending Dec 2008,Median,"190,000",
E09000003,Barnet,Year ending Dec 2008,Median,"280,000",
E09000004,Bexley,Year ending Dec 2008,Median,"210,000",
E09000005,Brent,Year ending Dec 2008,Median,"275,000",
E09000006,Bromley,Year ending Dec 2008,Median,"250,000",
E09000007,Camden,Year ending Dec 2008,Median,"440,000",
E09000008,Croydon,Year ending Dec 2008,Median,"226,500",
E09000009,Ealing,Year ending Dec 2008,Median,"270,000",
E09000010,Enfield,Year ending Dec 2008,Median,"234,600",
E09000011,Greenwich,Year ending Dec 2008,Median,"230,000",
E09000012,Hackney,Year ending Dec 2008,Median,"265,000",
E09000013,Hammersmith and Fulham,Year ending Dec 2008,Median,"435,000",
E09000014,Haringey,Year ending Dec 2008,Median,"250,000",
E09000015,Harrow,Year ending Dec 2008,Median,"275,000",
E09000016,Havering,Year ending Dec 2008,Median,"222,500",
E09000017,Hillingdon,Year ending Dec 2008,Median,"245,000",
E09000018,Hounslow,Year ending Dec 2008,Median,"249,000",
E09000019,Islington,Year ending Dec 2008,Median,"350,000",
E09000020,Kensington and Chelsea,Year ending Dec 2008,Median,"701,000",
E09000021,Kingston upon Thames,Year ending Dec 2008,Median,"285,000",
E09000022,Lambeth,Year ending Dec 2008,Median,"275,000",
E09000023,Lewisham,Year ending Dec 2008,Median,"227,000",
E09000024,Merton,Year ending Dec 2008,Median,"261,500",
E09000025,Newham,Year ending Dec 2008,Median,"235,000",
E09000026,Redbridge,Year ending Dec 2008,Median,"250,000",
E09000027,Richmond upon Thames,Year ending Dec 2008,Median,"375,000",
E09000028,Southwark,Year ending Dec 2008,Median,"278,000",
E09000029,Sutton,Year ending Dec 2008,Median,"230,000",
E09000030,Tower Hamlets,Year ending Dec 2008,Median,"289,998",
E09000031,Waltham Forest,Year ending Dec 2008,Median,"231,000",
E09000032,Wandsworth,Year ending Dec 2008,Median,"350,000",
E09000033,Westminster,Year ending Dec 2008,Median,"495,000",
E12000001,North East,Year ending Dec 2008,Median,"120,000",
E12000002,North West,Year ending Dec 2008,Median,"129,559",
E12000003,Yorkshire And The Humber,Year ending Dec 2008,Median,"129,995",
E12000004,East Midlands,Year ending Dec 2008,Median,"138,000",
E12000005,West Midlands,Year ending Dec 2008,Median,"142,000",
E12000006,East of England,Year ending Dec 2008,Median,"185,500",
E12000007,London,Year ending Dec 2008,Median,"258,000",
E12000008,South East,Year ending Dec 2008,Median,"215,000",
E12000009,South West,Year ending Dec 2008,Median,"185,000",
E92000001,England,Year ending Dec 2008,Median,"173,500",
W92000040,Wales,Year ending Dec 2008,Median,"135,000",
K04000037,England And Wales,Year ending Dec 2008,Median,"170,000",
E09000001,City of London,Year ending Mar 2009,Median,"357,500",
E09000002,Barking and Dagenham,Year ending Mar 2009,Median,"185,250",
E09000003,Barnet,Year ending Mar 2009,Median,"280,000",
E09000004,Bexley,Year ending Mar 2009,Median,"202,500",
E09000005,Brent,Year ending Mar 2009,Median,"270,000",
E09000006,Bromley,Year ending Mar 2009,Median,"250,000",
E09000007,Camden,Year ending Mar 2009,Median,"432,500",
E09000008,Croydon,Year ending Mar 2009,Median,"222,500",
E09000009,Ealing,Year ending Mar 2009,Median,"250,000",
E09000010,Enfield,Year ending Mar 2009,Median,"230,000",
E09000011,Greenwich,Year ending Mar 2009,Median,"227,500",
E09000012,Hackney,Year ending Mar 2009,Median,"270,000",
E09000013,Hammersmith and Fulham,Year ending Mar 2009,Median,"415,000",
E09000014,Haringey,Year ending Mar 2009,Median,"250,000",
E09000015,Harrow,Year ending Mar 2009,Median,"262,815",
E09000016,Havering,Year ending Mar 2009,Median,"217,500",
E09000017,Hillingdon,Year ending Mar 2009,Median,"243,000",
E09000018,Hounslow,Year ending Mar 2009,Median,"245,000",
E09000019,Islington,Year ending Mar 2009,Median,"345,000",
E09000020,Kensington and Chelsea,Year ending Mar 2009,Median,"686,549",
E09000021,Kingston upon Thames,Year ending Mar 2009,Median,"276,500",
E09000022,Lambeth,Year ending Mar 2009,Median,"270,000",
E09000023,Lewisham,Year ending Mar 2009,Median,"222,500",
E09000024,Merton,Year ending Mar 2009,Median,"250,000",
E09000025,Newham,Year ending Mar 2009,Median,"227,500",
E09000026,Redbridge,Year ending Mar 2009,Median,"248,000",
E09000027,Richmond upon Thames,Year ending Mar 2009,Median,"363,750",
E09000028,Southwark,Year ending Mar 2009,Median,"280,000",
E09000029,Sutton,Year ending Mar 2009,Median,"225,000",
E09000030,Tower Hamlets,Year ending Mar 2009,Median,"280,000",
E09000031,Waltham Forest,Year ending Mar 2009,Median,"225,000",
E09000032,Wandsworth,Year ending Mar 2009,Median,"344,950",
E09000033,Westminster,Year ending Mar 2009,Median,"484,000",
E12000001,North East,Year ending Mar 2009,Median,"119,950",
E12000002,North West,Year ending Mar 2009,Median,"127,000",
E12000003,Yorkshire And The Humber,Year ending Mar 2009,Median,"127,000",
E12000004,East Midlands,Year ending Mar 2009,Median,"135,000",
E12000005,West Midlands,Year ending Mar 2009,Median,"140,000",
E12000006,East of England,Year ending Mar 2009,Median,"180,000",
E12000007,London,Year ending Mar 2009,Median,"250,000",
E12000008,South East,Year ending Mar 2009,Median,"210,000",
E12000009,South West,Year ending Mar 2009,Median,"180,000",
E92000001,England,Year ending Mar 2009,Median,"170,000",
W92000041,Wales,Year ending Mar 2009,Median,"133,000",
K04000038,England And Wales,Year ending Mar 2009,Median,"168,000",
E09000001,City of London,Year ending Jun 2009,Median,"372,000",
E09000002,Barking and Dagenham,Year ending Jun 2009,Median,"175,000",
E09000003,Barnet,Year ending Jun 2009,Median,"275,000",
E09000004,Bexley,Year ending Jun 2009,Median,"200,000",
E09000005,Brent,Year ending Jun 2009,Median,"265,000",
E09000006,Bromley,Year ending Jun 2009,Median,"249,500",
E09000007,Camden,Year ending Jun 2009,Median,"416,000",
E09000008,Croydon,Year ending Jun 2009,Median,"215,000",
E09000009,Ealing,Year ending Jun 2009,Median,"250,000",
E09000010,Enfield,Year ending Jun 2009,Median,"225,000",
E09000011,Greenwich,Year ending Jun 2009,Median,"217,000",
E09000012,Hackney,Year ending Jun 2009,Median,"250,000",
E09000013,Hammersmith and Fulham,Year ending Jun 2009,Median,"400,000",
E09000014,Haringey,Year ending Jun 2009,Median,"250,000",
E09000015,Harrow,Year ending Jun 2009,Median,"250,000",
E09000016,Havering,Year ending Jun 2009,Median,"207,000",
E09000017,Hillingdon,Year ending Jun 2009,Median,"232,950",
E09000018,Hounslow,Year ending Jun 2009,Median,"237,995",
E09000019,Islington,Year ending Jun 2009,Median,"340,000",
E09000020,Kensington and Chelsea,Year ending Jun 2009,Median,"675,000",
E09000021,Kingston upon Thames,Year ending Jun 2009,Median,"264,950",
E09000022,Lambeth,Year ending Jun 2009,Median,"265,000",
E09000023,Lewisham,Year ending Jun 2009,Median,"218,000",
E09000024,Merton,Year ending Jun 2009,Median,"249,000",
E09000025,Newham,Year ending Jun 2009,Median,"207,000",
E09000026,Redbridge,Year ending Jun 2009,Median,"239,000",
E09000027,Richmond upon Thames,Year ending Jun 2009,Median,"350,000",
E09000028,Southwark,Year ending Jun 2009,Median,"285,000",
E09000029,Sutton,Year ending Jun 2009,Median,"215,000",
E09000030,Tower Hamlets,Year ending Jun 2009,Median,"275,000",
E09000031,Waltham Forest,Year ending Jun 2009,Median,"213,000",
E09000032,Wandsworth,Year ending Jun 2009,Median,"335,000",
E09000033,Westminster,Year ending Jun 2009,Median,"485,000",
E12000001,North East,Year ending Jun 2009,Median,"118,000",
E12000002,North West,Year ending Jun 2009,Median,"125,000",
E12000003,Yorkshire And The Humber,Year ending Jun 2009,Median,"125,000",
E12000004,East Midlands,Year ending Jun 2009,Median,"132,000",
E12000005,West Midlands,Year ending Jun 2009,Median,"138,000",
E12000006,East of England,Year ending Jun 2009,Median,"175,000",
E12000007,London,Year ending Jun 2009,Median,"250,000",
E12000008,South East,Year ending Jun 2009,Median,"200,000",
E12000009,South West,Year ending Jun 2009,Median,"175,000",
E92000001,England,Year ending Jun 2009,Median,"165,000",
W92000042,Wales,Year ending Jun 2009,Median,"130,000",
K04000039,England And Wales,Year ending Jun 2009,Median,"165,000",
E09000001,City of London,Year ending Sep 2009,Median,"381,250",
E09000002,Barking and Dagenham,Year ending Sep 2009,Median,"163,500",
E09000003,Barnet,Year ending Sep 2009,Median,"280,000",
E09000004,Bexley,Year ending Sep 2009,Median,"195,000",
E09000005,Brent,Year ending Sep 2009,Median,"270,000",
E09000006,Bromley,Year ending Sep 2009,Median,"247,000",
E09000007,Camden,Year ending Sep 2009,Median,"410,000",
E09000008,Croydon,Year ending Sep 2009,Median,"205,000",
E09000009,Ealing,Year ending Sep 2009,Median,"250,000",
E09000010,Enfield,Year ending Sep 2009,Median,"225,000",
E09000011,Greenwich,Year ending Sep 2009,Median,"218,000",
E09000012,Hackney,Year ending Sep 2009,Median,"267,000",
E09000013,Hammersmith and Fulham,Year ending Sep 2009,Median,"410,000",
E09000014,Haringey,Year ending Sep 2009,Median,"250,000",
E09000015,Harrow,Year ending Sep 2009,Median,"250,000",
E09000016,Havering,Year ending Sep 2009,Median,"200,000",
E09000017,Hillingdon,Year ending Sep 2009,Median,"230,000",
E09000018,Hounslow,Year ending Sep 2009,Median,"238,000",
E09000019,Islington,Year ending Sep 2009,Median,"340,000",
E09000020,Kensington and Chelsea,Year ending Sep 2009,Median,"675,000",
E09000021,Kingston upon Thames,Year ending Sep 2009,Median,"265,000",
E09000022,Lambeth,Year ending Sep 2009,Median,"265,000",
E09000023,Lewisham,Year ending Sep 2009,Median,"215,000",
E09000024,Merton,Year ending Sep 2009,Median,"246,000",
E09000025,Newham,Year ending Sep 2009,Median,"201,500",
E09000026,Redbridge,Year ending Sep 2009,Median,"231,000",
E09000027,Richmond upon Thames,Year ending Sep 2009,Median,"350,000",
E09000028,Southwark,Year ending Sep 2009,Median,"283,000",
E09000029,Sutton,Year ending Sep 2009,Median,"213,000",
E09000030,Tower Hamlets,Year ending Sep 2009,Median,"280,000",
E09000031,Waltham Forest,Year ending Sep 2009,Median,"210,000",
E09000032,Wandsworth,Year ending Sep 2009,Median,"340,000",
E09000033,Westminster,Year ending Sep 2009,Median,"494,629",
E12000001,North East,Year ending Sep 2009,Median,"118,000",
E12000002,North West,Year ending Sep 2009,Median,"125,000",
E12000003,Yorkshire And The Humber,Year ending Sep 2009,Median,"126,000",
E12000004,East Midlands,Year ending Sep 2009,Median,"132,000",
E12000005,West Midlands,Year ending Sep 2009,Median,"139,500",
E12000006,East of England,Year ending Sep 2009,Median,"175,000",
E12000007,London,Year ending Sep 2009,Median,"250,000",
E12000008,South East,Year ending Sep 2009,Median,"200,000",
E12000009,South West,Year ending Sep 2009,Median,"175,000",
E92000001,England,Year ending Sep 2009,Median,"167,000",
W92000043,Wales,Year ending Sep 2009,Median,"130,000",
K04000040,England And Wales,Year ending Sep 2009,Median,"165,000",
E09000001,City of London,Year ending Dec 2009,Median,"400,000",
E09000002,Barking and Dagenham,Year ending Dec 2009,Median,"160,000",
E09000003,Barnet,Year ending Dec 2009,Median,"290,000",
E09000004,Bexley,Year ending Dec 2009,Median,"196,000",
E09000005,Brent,Year ending Dec 2009,Median,"275,000",
E09000006,Bromley,Year ending Dec 2009,Median,"249,000",
E09000007,Camden,Year ending Dec 2009,Median,"417,500",
E09000008,Croydon,Year ending Dec 2009,Median,"200,000",
E09000009,Ealing,Year ending Dec 2009,Median,"257,750",
E09000010,Enfield,Year ending Dec 2009,Median,"225,000",
E09000011,Greenwich,Year ending Dec 2009,Median,"220,000",
E09000012,Hackney,Year ending Dec 2009,Median,"275,000",
E09000013,Hammersmith and Fulham,Year ending Dec 2009,Median,"420,000",
E09000014,Haringey,Year ending Dec 2009,Median,"250,000",
E09000015,Harrow,Year ending Dec 2009,Median,"250,000",
E09000016,Havering,Year ending Dec 2009,Median,"200,000",
E09000017,Hillingdon,Year ending Dec 2009,Median,"230,000",
E09000018,Hounslow,Year ending Dec 2009,Median,"240,000",
E09000019,Islington,Year ending Dec 2009,Median,"345,000",
E09000020,Kensington and Chelsea,Year ending Dec 2009,Median,"680,000",
E09000021,Kingston upon Thames,Year ending Dec 2009,Median,"270,000",
E09000022,Lambeth,Year ending Dec 2009,Median,"275,000",
E09000023,Lewisham,Year ending Dec 2009,Median,"215,000",
E09000024,Merton,Year ending Dec 2009,Median,"250,000",
E09000025,Newham,Year ending Dec 2009,Median,"200,000",
E09000026,Redbridge,Year ending Dec 2009,Median,"230,000",
E09000027,Richmond upon Thames,Year ending Dec 2009,Median,"376,425",
E09000028,Southwark,Year ending Dec 2009,Median,"285,000",
E09000029,Sutton,Year ending Dec 2009,Median,"210,000",
E09000030,Tower Hamlets,Year ending Dec 2009,Median,"290,000",
E09000031,Waltham Forest,Year ending Dec 2009,Median,"211,500",
E09000032,Wandsworth,Year ending Dec 2009,Median,"350,000",
E09000033,Westminster,Year ending Dec 2009,Median,"499,999",
E12000001,North East,Year ending Dec 2009,Median,"120,000",
E12000002,North West,Year ending Dec 2009,Median,"130,000",
E12000003,Yorkshire And The Humber,Year ending Dec 2009,Median,"130,000",
E12000004,East Midlands,Year ending Dec 2009,Median,"135,000",
E12000005,West Midlands,Year ending Dec 2009,Median,"142,000",
E12000006,East of England,Year ending Dec 2009,Median,"175,000",
E12000007,London,Year ending Dec 2009,Median,"250,000",
E12000008,South East,Year ending Dec 2009,Median,"203,000",
